"en","pt-BR"
"Hopefully this is obvious, but a strong tech-powered product company would no sooner outsource their engineers, than they would outsource their CEO.","Espero que isso seja óbvio, mas uma boa empresa de produtos de tecnologia não terceirizaria seus engenheiros, tanto quanto não terceirizaria seu CEO."
"The best tech companies understand this.  They all have dual-track career ladders for a reason.","As melhores empresas de tecnologia entendem isso. Todas têm dois tipos de planos de carreira por um motivo."
"Their top engineers are generally compensated at the level of a vice-president.","Os principais engenheiros geralmente são remunerados no nível de um vice-presidente."
"The engineers are the easiest way to tell if the company has teams of missionaries or teams of mercenaries.","Observar os engenheiros é a forma mais fácil de dizer e uma empresa tem times de missionários ou times de mercenários."
"Note that I’m not suggesting that you put your engineers on a pedestal.","Observe que não estou sugerindo que você coloque seus engenheiros em um pedestal."
"They are ordinary people like the rest of us.  But I am suggesting that you treat them like the first-class members of the product teams they need to be.","Eles são pessoas normais, como todos nós. Mas estou sugerindo que você os trate como os membros de primeira classe do time de produto que eles precisam ser."
"Often when I’m asked to talk to a company, the head of product will warn me – “we’re a sales-driven company” or “we’re a marketing-driven company” – but occasionally I’ll be warned “we’re an engineering-driven company.”","Frequentemente, quando sou chamado para falar em uma empresa, o head de produto me avisa – ""somos uma empresa orientada a vendas"" ou ""somos uma empresa orientada a marketing"" – mas de vez em quando sou avisado de que ""somos uma empresa orientada a engenharia""."
"When a company is so-called “engineering-driven” it is usually very straightforward to transform the company into a world-class product company.  That’s because they have already addressed the most important part.","Quando uma empresa é vista como ""orientada a engenharia"" geralmente é bem simples transformá-la em uma empresa de produtos de nível mundial."
"Just consider the breakthrough innovations you use and love every day.  Odds are that innovation originated from an empowered engineer.","Considere as inovações revolucionárias que você usa e adora todos os dias. É bem provável que a inovação teve origem em um engenheiro empoderado."
"If you do nothing else other than this, you will have meaningfully moved forward on your use of technology, and on giving yourself a real chance at continuous innovation.","Se você não fizer mais nada além disso, você vai ter avançado significativamente no seu uso de tecnologia, e em se dar uma chance real de inovação contínua."
